cruise,time,latitude,longitude,line,station,scientific_name,larvae_10m2
,UTC,degrees_north,degrees_east,,,,Larvae 10/M^2
195101,1951-01-17T10:51:00Z,31.351665,-121.72,90.0,90.0,Diogenichthys atlanticus,1.77
195101,1951-01-17T10:51:00Z,31.351665,-121.72,90.0,90.0,Lampanyctus,1.77
195102,1951-02-20T16:46:00Z,31.416666,-121.98333,90.0,90.0,Sebastes,1.86
195102,1951-02-20T16:46:00Z,31.416666,-121.98333,90.0,90.0,Symbolophorus californiensis,1.86
195103,1951-03-19T23:02:00Z,31.416666,-121.98333,90.0,90.0,Lampanyctus,2.07
195103,1951-03-19T23:02:00Z,31.416666,-121.98333,90.0,90.0,Melamphaes,8.28
195103,1951-03-19T23:02:00Z,31.416666,-121.98333,90.0,90.0,Merluccius productus,196.65
195103,1951-03-19T23:02:00Z,31.416666,-121.98333,90.0,90.0,Protomyctophum crockeri,4.14
195103,1951-03-19T23:02:00Z,31.416666,-121.98333,90.0,90.0,Trachurus symmetricus,217.35
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Bathylagoides wesethi,2.64
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Diogenichthys atlanticus,2.64
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Icichthys lockingtoni,2.64
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Lampanyctus,7.92
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Leuroglossus stilbius,26.4
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Lipolagus ochotensis,2.64
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Merluccius productus,208.56
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Sebastes,2.64
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Sebastolobus,7.92
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Stenobrachius leucopsarus,29.04
195104,1951-04-16T10:00:00Z,31.4,-121.98333,90.0,90.0,Trachurus symmetricus,7.92
195105,1951-05-14T02:46:00Z,31.425,-121.98333,90.0,90.0,Lampanyctus,7.16
195105,1951-05-14T02:46:00Z,31.425,-121.98333,90.0,90.0,Leuroglossus stilbius,5.37
195105,1951-05-14T02:46:00Z,31.425,-121.98333,90.0,90.0,Lipolagus ochotensis,7.16
195105,1951-05-14T02:46:00Z,31.425,-121.98333,90.0,90.0,Stenobrachius leucopsarus,12.53
195105,1951-05-14T02:46:00Z,31.425,-121.98333,90.0,90.0,Trachurus symmetricus,21.48
195105,1951-05-14T02:46:00Z,31.425,-121.98333,90.0,90.0,Triphoturus mexicanus,5.37
195106,1951-06-18T13:05:00Z,31.416666,-121.98333,90.0,90.0,Protomyctophum crockeri,1.95
195106,1951-06-18T13:05:00Z,31.416666,-121.98333,90.0,90.0,Vinciguerria lucetia,1.95
195107,1951-07-04T16:40:00Z,31.458332,-122.0,90.0,90.0,Bathylagoides wesethi,3.48
195107,1951-07-04T16:40:00Z,31.458332,-122.0,90.0,90.0,Idiacanthus antrostomus,1.74
195107,1951-07-04T16:40:00Z,31.458332,-122.0,90.0,90.0,Lampanyctus,1.74
195107,1951-07-04T16:40:00Z,31.458332,-122.0,90.0,90.0,Microstoma,1.74
195107,1951-07-04T16:40:00Z,31.458332,-122.0,90.0,90.0,Paralepididae,1.74
195107,1951-07-04T16:40:00Z,31.458332,-122.0,90.0,90.0,Symbolophorus californiensis,1.74
195107,1951-07-04T16:40:00Z,31.458332,-122.0,90.0,90.0,Triphoturus mexicanus,3.48
195108,1951-08-06T02:46:00Z,31.416666,-121.98333,90.0,90.0,Bathylagoides wesethi,5.68
195108,1951-08-06T02:46:00Z,31.416666,-121.98333,90.0,90.0,Ceratoscopelus townsendi,11.36
195108,1951-08-06T02:46:00Z,31.416666,-121.98333,90.0,90.0,Triphoturus mexicanus,5.68
195108,1951-08-06T02:46:00Z,31.416666,-121.98333,90.0,90.0,Vinciguerria lucetia,8.52
195201,1952-01-24T16:06:00Z,31.425,-121.96667,90.0,90.0,Ceratoscopelus townsendi,2.84
195201,1952-01-24T16:06:00Z,31.425,-121.96667,90.0,90.0,Vinciguerria lucetia,5.68
195202,1952-02-18T23:06:00Z,31.416666,-121.975,90.0,90.0,Icichthys lockingtoni,2.66
195202,1952-02-18T23:06:00Z,31.416666,-121.975,90.0,90.0,Merluccius productus,2.66
195202,1952-02-18T23:06:00Z,31.416666,-121.975,90.0,90.0,Myctophum nitidulum,2.66
195202,1952-02-18T23:06:00Z,31.416666,-121.975,90.0,90.0,Trachurus symmetricus,2.66
195203,1952-03-10T10:56:00Z,31.416666,-121.98333,90.0,90.0,Diogenichthys atlanticus,5.48
195203,1952-03-10T10:56:00Z,31.416666,-121.98333,90.0,90.0,Merluccius productus,1079.56
195203,1952-03-10T10:56:00Z,31.416666,-121.98333,90.0,90.0,Protomyctophum crockeri,16.44
195203,1952-03-10T10:56:00Z,31.416666,-121.98333,90.0,90.0,Trachurus symmetricus,186.32
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Aristostomias scintillans,2.5
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Bathylagoides wesethi,32.5
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Ceratoscopelus townsendi,2.5
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Cyclothone,10.0
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Diogenichthys atlanticus,2.5
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Lampanyctus,10.0
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Merluccius productus,1935.0
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Myctophidae,15.0
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Myctophum nitidulum,2.5
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Nansenia candida,12.5
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Paralepididae,10.0
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Symbolophorus californiensis,22.5
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Teleostei,12.5
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Trachurus symmetricus,177.5
195204,1952-04-03T19:36:00Z,31.416666,-121.98333,90.0,90.0,Vinciguerria lucetia,12.5
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Bathylagoides wesethi,71.01
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Ceratoscopelus townsendi,2.63
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Cyclothone,49.97
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Diogenichthys atlanticus,13.15
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Lampanyctus,15.78
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Melamphaes,5.26
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Merluccius productus,10.52
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Nansenia candida,2.63
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Paralepididae,2.63
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Protomyctophum crockeri,13.15
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Symbolophorus californiensis,28.93
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Trachurus symmetricus,120.98
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Trichiuridae,2.63
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Triphoturus mexicanus,2.63
195205,1952-05-11T03:36:00Z,31.416666,-121.98333,90.0,90.0,Vinciguerria lucetia,10.52
195206,1952-06-05T05:35:00Z,31.416666,-121.98333,90.0,90.0,Diaphus,8.58
195206,1952-06-05T05:35:00Z,31.416666,-121.98333,90.0,90.0,Diogenichthys atlanticus,5.72
195206,1952-06-05T05:35:00Z,31.416666,-121.98333,90.0,90.0,Lampanyctus,8.58
195206,1952-06-05T05:35:00Z,31.416666,-121.98333,90.0,90.0,Paralepididae,5.72
195206,1952-06-05T05:35:00Z,31.416666,-121.98333,90.0,90.0,Protomyctophum crockeri,5.72
195206,1952-06-05T05:35:00Z,31.416666,-121.98333,90.0,90.0,Tarletonbeania crenularis,2.86
195206,1952-06-05T05:35:00Z,31.416666,-121.98333,90.0,90.0,Trachurus symmetricus,5.72
195206,1952-06-05T05:35:00Z,31.416666,-121.98333,90.0,90.0,Triphoturus mexicanus,2.86
195207,1952-07-11T00:06:00Z,31.425,-121.99333,90.0,90.0,Diogenichthys atlanticus,2.95
195207,1952-07-11T00:06:00Z,31.425,-121.99333,90.0,90.0,Lampanyctus,5.9
195207,1952-07-11T00:06:00Z,31.425,-121.99333,90.0,90.0,Lipolagus ochotensis,2.95
195207,1952-07-11T00:06:00Z,31.425,-121.99333,90.0,90.0,Tarletonbeania crenularis,8.85
195207,1952-07-11T00:06:00Z,31.425,-121.99333,90.0,90.0,Trachipteridae,2.95
195207,1952-07-11T00:06:00Z,31.425,-121.99333,90.0,90.0,Trachurus symmetricus,2.95
195301,1953-01-15T15:14:00Z,31.416666,-121.98333,90.0,90.0,Idiacanthus antrostomus,2.54
195301,1953-01-15T15:14:00Z,31.416666,-121.98333,90.0,90.0,Protomyctophum crockeri,2.54
195301,1953-01-15T15:14:00Z,31.416666,-121.98333,90.0,90.0,Tetragonurus cuvieri,2.54
195301,1953-01-15T15:14:00Z,31.416666,-121.98333,90.0,90.0,Vinciguerria lucetia,2.54
195303,1953-03-12T20:56:00Z,31.416666,-121.98333,90.0,90.0,Diogenichthys atlanticus,6.32
