cruise,time,latitude,longitude,line,station,scientific_name,larvae_count,larvae_10m2
,UTC,degrees_north,degrees_east,,,,,Larvae 10/M^2
198003,1980-04-07T04:25:00Z,32.66,-121.05,86.7,70.0,Leuroglossus stilbius,1,10.556701
198003,1980-04-07T04:25:00Z,32.66,-121.05,86.7,70.0,Lipolagus ochotensis,1,10.556701
198003,1980-04-07T04:25:00Z,32.66,-121.05,86.7,70.0,Merluccius productus,434,4581.6084
198003,1980-04-07T04:25:00Z,32.66,-121.05,86.7,70.0,Nansenia candida,1,10.556701
198003,1980-04-07T04:25:00Z,32.66,-121.05,86.7,70.0,Stenobrachius leucopsarus,1,10.556701
198003,1980-04-07T04:17:00Z,32.66,-121.05,86.7,70.0,Merluccius productus,25,5032.25
198003,1980-04-07T07:19:00Z,32.82,-120.68667,86.7,65.0,Merluccius productus,27,5839.56
198003,1980-04-07T09:48:00Z,32.991665,-120.35,86.7,60.0,Merluccius productus,6,1169.64
198003,1980-04-07T11:34:00Z,33.09,-120.14333,86.7,57.0,Merluccius productus,45,10053.0
198003,1980-04-07T12:24:00Z,33.125,-120.075,86.7,56.0,Merluccius productus,21,5117.91
198003,1980-04-07T13:15:00Z,33.156666,-120.00667,86.7,55.0,Citharichthys sordidus,1,12.12766
198003,1980-04-07T13:15:00Z,33.156666,-120.00667,86.7,55.0,Citharichthys stigmaeus,2,24.25532
198003,1980-04-07T13:15:00Z,33.156666,-120.00667,86.7,55.0,Engraulis mordax,12,145.53192
198003,1980-04-07T13:15:00Z,33.156666,-120.00667,86.7,55.0,Leuroglossus stilbius,7,84.893616
198003,1980-04-07T13:15:00Z,33.156666,-120.00667,86.7,55.0,Lipolagus ochotensis,2,24.25532
198003,1980-04-07T13:15:00Z,33.156666,-120.00667,86.7,55.0,Merluccius productus,2,24.25532
198003,1980-04-07T13:15:00Z,33.156666,-120.00667,86.7,55.0,Pseudobathylagus milleri,1,12.12766
198003,1980-04-07T13:15:00Z,33.156666,-120.00667,86.7,55.0,Sebastes,25,303.1915
198003,1980-04-07T13:15:00Z,33.156666,-120.00667,86.7,55.0,Stenobrachius leucopsarus,5,60.638298
198003,1980-04-07T13:06:00Z,33.156666,-120.00667,86.7,55.0,Merluccius productus,2,466.64
198003,1980-04-07T14:13:00Z,33.19,-119.93833,86.7,54.0,Merluccius productus,4,889.48
198003,1980-04-07T15:57:00Z,33.29,-119.73167,86.7,51.0,Engraulis mordax,1,203.13
198003,1980-04-07T16:50:00Z,33.323334,-119.66333,86.7,50.0,Engraulis mordax,78,826.0693
198003,1980-04-07T16:50:00Z,33.323334,-119.66333,86.7,50.0,Sebastes,33,349.49084
198003,1980-04-07T16:50:00Z,33.323334,-119.66333,86.7,50.0,Sebastes goodei,1,10.5906315
198003,1980-04-07T16:50:00Z,33.323334,-119.66333,86.7,50.0,Stenobrachius leucopsarus,4,42.362526
198003,1980-04-07T16:50:00Z,33.323334,-119.66333,86.7,50.0,Teleostei,2,21.181263
198003,1980-04-07T16:38:00Z,33.323334,-119.66333,86.7,50.0,Engraulis mordax,2,463.66
198003,1980-04-07T17:38:00Z,33.356667,-119.595,86.7,49.0,Engraulis mordax,2,430.2
198003,1980-04-07T18:10:00Z,33.388332,-119.52333,86.7,48.0,Engraulis mordax,4,809.44
198003,1980-04-07T18:43:00Z,33.423332,-119.458336,86.7,47.0,Engraulis mordax,20,4232.4
198003,1980-04-07T19:12:00Z,33.458332,-119.386665,86.7,46.0,Engraulis mordax,18,4070.34
198003,1980-04-07T20:05:00Z,33.49,-119.316666,86.7,45.0,Engraulis mordax,265,2896.6335
198003,1980-04-07T20:05:00Z,33.49,-119.316666,86.7,45.0,Leuroglossus stilbius,10,109.30693
198003,1980-04-07T20:05:00Z,33.49,-119.316666,86.7,45.0,Lyopsetta exilis,1,10.930693
198003,1980-04-07T20:05:00Z,33.49,-119.316666,86.7,45.0,Peprilus simillimus,1,10.930693
198003,1980-04-07T20:05:00Z,33.49,-119.316666,86.7,45.0,Rhinogobiops nicholsii,1,10.930693
198003,1980-04-07T20:05:00Z,33.49,-119.316666,86.7,45.0,Sebastes,7,76.514854
198003,1980-04-07T20:05:00Z,33.49,-119.316666,86.7,45.0,Stenobrachius leucopsarus,10,109.30693
198003,1980-04-07T19:53:00Z,33.49,-119.316666,86.7,45.0,Engraulis mordax,39,8078.07
198003,1980-04-07T21:05:00Z,33.523335,-119.25,86.7,44.0,Engraulis mordax,43,9055.37
198003,1980-04-07T21:33:00Z,33.556667,-119.18166,86.7,43.0,Engraulis mordax,22,4858.04
198003,1980-04-07T22:07:00Z,33.59,-119.111664,86.7,42.0,Engraulis mordax,2,439.66
198003,1980-04-07T22:40:00Z,33.623333,-119.043335,86.7,41.0,Engraulis mordax,4,1153.28
198003,1980-04-07T23:30:00Z,33.656666,-118.975,86.7,40.0,Argyropelecus sladeni,2,10.6
198003,1980-04-07T23:30:00Z,33.656666,-118.975,86.7,40.0,Engraulis mordax,288,1526.4
198003,1980-04-07T23:30:00Z,33.656666,-118.975,86.7,40.0,Leuroglossus stilbius,104,551.2
198003,1980-04-07T23:30:00Z,33.656666,-118.975,86.7,40.0,Lipolagus ochotensis,2,10.6
198003,1980-04-07T23:30:00Z,33.656666,-118.975,86.7,40.0,Lyopsetta exilis,2,10.6
198003,1980-04-07T23:30:00Z,33.656666,-118.975,86.7,40.0,Sebastes,8,42.4
198003,1980-04-07T23:30:00Z,33.656666,-118.975,86.7,40.0,Sebastes jordani,2,10.6
198003,1980-04-07T23:30:00Z,33.656666,-118.975,86.7,40.0,Stenobrachius leucopsarus,4,21.2
198003,1980-04-07T23:20:00Z,33.656666,-118.975,86.7,40.0,Engraulis mordax,15,3110.55
198003,1980-04-08T00:30:00Z,33.691666,-118.903336,86.7,39.0,Engraulis mordax,25,5325.25
198003,1980-04-08T01:00:00Z,33.72333,-118.83666,86.7,38.0,Engraulis mordax,15,3185.85
198003,1980-04-08T01:33:00Z,33.756664,-118.76666,86.7,37.0,Engraulis mordax,12,2601.24
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Argyropelecus sladeni,1,10.156863
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Engraulis mordax,58,589.098
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Genyonemus lineatus,8,81.254906
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Leuroglossus stilbius,28,284.39215
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Lipolagus ochotensis,3,30.470589
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Sebastes,1,10.156863
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Stenobrachius leucopsarus,1,10.156863
198003,1980-04-08T02:44:00Z,33.823334,-118.628334,86.7,35.0,Engraulis mordax,3,607.14
198003,1980-04-08T04:47:00Z,33.785,-118.566666,86.7,34.6,Engraulis mordax,6,1207.74
198003,1980-04-09T03:00:00Z,32.936665,-120.31333,86.7,60.0,Merluccius productus,35,7308.0
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Lipolagus ochotensis,2,24.17154
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Merluccius productus,225,2719.2983
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Sebastes,4,48.34308
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Sebastes aurora,1,12.08577
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Stenobrachius leucopsarus,1,12.08577
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Teleostei,11,132.94347
198003,1980-04-09T03:41:00Z,32.99,-120.35,86.7,60.0,Merluccius productus,14,2865.52
198003,1980-04-09T04:52:00Z,33.058334,-120.39333,86.3,60.0,Merluccius productus,3,627.27
198003,1980-04-09T05:29:00Z,33.111668,-120.43166,86.0,60.0,Merluccius productus,4,833.0
198003,1980-04-09T06:02:00Z,33.163334,-120.46833,85.7,60.0,Merluccius productus,5,1002.55
198003,1980-04-09T06:43:00Z,33.231667,-120.51666,85.3,60.0,Engraulis mordax,1,242.53
198003,1980-04-09T07:15:00Z,33.285,-120.55167,85.0,60.0,Engraulis mordax,2,450.0
198003,1980-04-09T10:11:00Z,33.45,-120.208336,85.0,55.0,Engraulis mordax,1,234.95
198003,1980-04-09T10:44:00Z,33.483334,-120.14166,85.0,54.0,Engraulis mordax,2,457.98
198003,1980-04-09T11:18:00Z,33.516666,-120.07,85.0,53.0,Engraulis mordax,1,204.55
198003,1980-04-09T12:17:00Z,33.583332,-119.93166,85.0,51.0,Engraulis mordax,5,1145.6
198003,1980-04-09T12:50:00Z,33.618332,-119.863335,85.0,50.0,Engraulis mordax,8,1784.4
198003,1980-04-09T13:24:00Z,33.655,-119.79,85.0,49.0,Engraulis mordax,21,4384.59
198003,1980-04-09T13:53:00Z,33.683334,-119.721664,85.0,48.0,Engraulis mordax,22,4613.4
198003,1980-04-09T14:24:00Z,33.716667,-119.65833,85.0,47.0,Engraulis mordax,7,1468.11
198003,1980-04-09T15:07:00Z,33.75,-119.58666,85.0,46.0,Engraulis mordax,11,2270.51
198003,1980-04-09T15:43:00Z,33.783333,-119.52,85.0,45.0,Engraulis mordax,4,846.56
198003,1980-04-09T16:16:00Z,33.816666,-119.44833,85.0,44.0,Engraulis mordax,34,7332.78
198003,1980-04-09T16:50:00Z,33.85,-119.38,85.0,43.0,Engraulis mordax,3,631.2
198003,1980-04-09T17:18:00Z,33.881664,-119.31167,85.0,42.0,Engraulis mordax,2,414.72
